name,level,fall_2019_pop,zip_code,
Allison,Elementary,410,78741,515 Vargas Road
Anderson,High,2175,78759,8403 Mesa Drive
Andrews,Elementary,383,78723,6801 Northeast Drive
Akins,High,3317,78748,10701 S. First St.
Austin,High,2064,78703,1715 W. Cesar Chavez St.
Bailey,Middle,1060,78739,4020 Lost Oasis Hollow
Baldwin,Elementary,812,78739,12200 Meridian Park Blvd
Baranoff,Elementary,1151,78748,12009 Buckingham Gate Road
Jordan,Elementary,666,78724,6711 Johnny Morris Road
Barrington,Elementary,327,78752,400 Cooper Drive
Barton Hills,Elementary,291,78704,2108 Barton Hills Drive
Bear Creek,Elementary,0,78739,12801 Escarpment Blvd.
Becker,Elementary,219,78704,906 W. Milton St.
Bedichek,Middle,944,78745,6800 Bill Hughes Road
Blackshear,Elementary,243,78702,1712 E. 11th St.
Blanton,Elementary,526,78723,5408 Westminster Drive
Blazier K-6,Elementary,1222,78744,8601 Vertex Blvd.
Boone,Elementary,423,78749,8101 Croftwood Drive
Bowie,High,3246,78749,4103 W. Slaughter Lane
Brentwood,Elementary,722,78752,601 E. St. Johns Ave.
Brooke *,Elementary,292,78702,
Bryker Woods,Elementary,371,78703,3309 Kerbey Lane
Burnet,Middle,1159,78757,8401 Hathaway St.
Campbell,Elementary,302,78722,2613 Rogers Ave.
Casey,Elementary,656,78748,9400 Texas Oaks Drive
Casis,Elementary,691,78703,2710 Exposition Blvd.
Clayton,Elementary,746,78739,7525 La Crosse Ave.
Cook,Elementary,528,78758,1511 Cripple Creek Drive
Covington,Middle,845,78749,3700 Convict Hill Road
Cowan,Elementary,806,78748,2817 Kentish Drive
Crockett,High,1463,78745,5601 Manchaca Road
Cunningham,Elementary,476,78745,2200 Berkeley Ave.
Davis,Elementary,744,78727,5214 Duval Road
Dawson,Elementary,173,78704,3001 S. First St.
Dobie,Middle,1169,78753,1200 E. Rundberg Lane
Doss,Elementary,802,78731,7005 Northledge Drive
Eastside Memorial,High,756,78721,1012 Arthur Stiles Road
Galindo,Elementary,555,78704,3800 S. Second St.
Garza,High,134,78702,1600 Chicon St.
Gorzycki,Middle,728,78749,7412 W. Slaughter Lane
Govalle,Elementary,425,78702,3601 Govalle Ave.
Graham,Elementary,622,78753,11211 Tom Adams Drive
Guerrero Thompson,Elementary,605,78753,102 E. Rundberg Lane
Gullett,Elementary,488,78757,6310 Treadwell Blvd.
Harris,Elementary,531,78723,1711 Wheless Lane
Hart,Elementary,835,78753,8301 Furness St.
Highland Park,Elementary,658,78731,4900 Fairview Drive
Hill,Elementary,974,78759,8601 Tallwood Drive
Houston,Elementary,594,78744,5409 Ponciana Drive
Joslin,Elementary,180,78745,4500 Manchaca Road
Kealing,Middle,1485,78702,1607 Pennsylvania Ave.
Kiker,Elementary,1154,78739,5913 La Crosse Ave.
Kocurek,Elementary,578,78748,9800 Curlew Drive
Lamar,Middle,616,78757,6201 Wynona St.
Langford,Elementary,583,78744,2206 Blue Meadow Drive
LBJ,High,918,78724,7309 Lazy Creek Drive
Lee,Elementary,303,78705,3308 Hampton Road
Linder,Elementary,587,78741,2800 Metcalfe Road
Lively,Middle,1111,78704,201 E. Mary St.
Maplewood,Elementary,463,78722,3808 Maplewood Ave.
Martin,Middle,948,78702,1601 Haskell St.
Mathews,Elementary,267,78703,906 West Lynn St.
McBee,Elementary,482,78758,1001 West Braker
McCallum,High,1666,78756,5600 Sunshine Drive
Menchaca,Elementary,855,78652,1218 West FM 1626 Manchaca
Mendez,Middle,893,78744,5106 Village Square Drive
Metz,Elementary,158,78702,84 Robert T. Martinez Jr. St.
Mills,Elementary,702,78749,6201 Davis Lane
Murchison,Middle,1386,78731,3700 N Hills Drive
Navarro,High,1979,78757,1201 Payton Gin Road
New Blazier Relief,Elementary,0,78744,
Norman,Elementary,226,78721,1203 Springdale Drive
Northeast,High,1525,78752,7104 Berkman Drive
O Henry,Middle,902,78703,2610 West 10th St.
Oak Hill,Elementary,935,78735,6101 Patton Ranch Road
Oak Springs,Elementary,232,78702,3601 Webberville Road
Odom,Elementary,465,78745,1010 Turtle Creek Blvd.
Ortega,Elementary,260,78721,1135 Garland Ave.
Overton,Elementary,530,78724,7201 Colony Loop Drive
Padron,Elementary,684,78758,2011 W. Rundberg Lane
Palm,Elementary,341,78744,7601 Dixie Drive
Paredes,Middle,1280,78748,10100 S. Mary Moore Searight Dr.
Patton,Elementary,967,78749,6001 Westcreek Drive
Pecan Springs,Elementary,380,78723,3100 Rogge Lane
Perez,Elementary,575,78744,7500 S. Pleasant Valley Road
Pickle,Elementary,461,78752,1101 Wheatley Ave.
Pillow,Elementary,538,78757,3025 Crosscreek Drive
Pleasant Hill,Elementary,467,78745,6405 Circle S Road
Reilly,Elementary,229,78752,405 Denson Drive
Ridgetop,Elementary,131,78751,5005 Caswell Ave.
Rodriguez,Elementary,603,78744,4400 Franklin Park Drive
Rosedale,K-12 Special Ed,139,78756,2117 W. 49th St.
Sanchez,Elementary,267,78702,84 Robert T. Martinez Jr. St. 
Sims,Elementary,171,closing,
Small,Middle,1002,78749,4801 Monterey Oaks Blvd.
St Elmo,Elementary,275,78745,600 W. St. Elmo Road
Summitt,Elementary,674,78727,12207 Brigadoon Lane
Sunset Valley,Elementary,421,78745,3000 Jones Road
Brown,Elementary,329,78752,7801 Guadalupe Street
Travis,High,1586,78704,1211 E. Oltorf St.
Travis Heights,Elementary,470,78704,2010 Alameda Drive
Walnut Creek,Elementary,652,78753,401 W. Braker Lane
Webb,Middle,942,78752,601 E. St. Johns Ave.
Webb Primary Center *,Elementary,284,closed,
Widen,Elementary,454,78744,5605 Nuckols Crossing
Williams,Elementary,467,78748,500 Mairo St.
Winn,Elementary,268,78723,3500 Susquehanna Lane
Wooldridge,Elementary,610,78757,1412 Norseman Terrace
Wooten,Elementary,486,78757,1406 Dale St.
Zavala,Elementary,195,78702,310 Robert T. Martinez Jr. St.
Zilker,Elementary,421,78704,1900 Bluebonnet Lane